feature number,added feature,r2 score
1,LotArea,0.5740130980391078
2,OverallQual,0.8519174615978677
3,OverallCond,0.8738538193347769
4,MasVnrArea,0.8775826713643949
5,ExterQual,0.8717227863200601
6,ExterCond,0.88539402515111
7,BsmtQual,0.894151560054493
8,BsmtCond,0.8959851927753136
9,BsmtExposure,0.9023854923149484
10,BsmtFinType1,0.9073265832833791
11,BsmtFinSF1,0.9022667707678639
12,BsmtFinType2,0.9074631193508995
13,BsmtFinSF2,0.9100750803338351
14,BsmtUnfSF,0.9145747559849077
15,TotalBsmtSF,0.9141591736843081
16,HeatingQC,0.9079174824407961
17,1stFlrSF,0.9096523169547738
18,2ndFlrSF,0.9067125503146674
19,LowQualFinSF,0.9088404218505051
20,GrLivArea,0.9121618777806741
21,BsmtFullBath,0.9087935115380079
22,BsmtHalfBath,0.9099398035827568
23,FullBath,0.9102497655663129
24,HalfBath,0.9098349738651593
25,BedroomAbvGr,0.9106329525645174
26,KitchenAbvGr,0.9109178646171878
27,KitchenQual,0.9116228660298373
28,TotRmsAbvGrd,0.9099510589271192
29,Functional,0.9109566959381399
30,Fireplaces,0.9074956070472888
31,FireplaceQu,0.9092452430156945
32,GarageFinish,0.9114487803760533
33,GarageCars,0.9097769580607831
34,GarageArea,0.909304283074964
35,GarageQual,0.9122749653027162
36,GarageCond,0.9099917103602219
37,WoodDeckSF,0.9084392210531599
38,OpenPorchSF,0.9104090208854074
39,EnclosedPorch,0.911981836120275
40,3SsnPorch,0.9115745275088237
41,ScreenPorch,0.9116248091142782
42,PoolArea,0.9104309302143057
43,PoolQC,0.9122098732598627
44,Fence,0.9125812673795675
45,MiscVal,0.9112253158886365
46,MoSold,0.9109887663799742
47,LotFrontage_missing_flag,0.9097916667648305
48,Alley_missing_flag,0.9116650937402841
49,MasVnrType_missing_flag,0.910456355955889
50,MasVnrArea_missing_flag,0.9115331865467804
51,BsmtQual_missing_flag,0.9099010611472376
52,BsmtCond_missing_flag,0.910352999287075
53,BsmtExposure_missing_flag,0.9101936067202394
54,BsmtFinType1_missing_flag,0.9131435498451816
55,BsmtFinType2_missing_flag,0.9113465056110526
56,Electrical_missing_flag,0.9063304172302981
57,FireplaceQu_missing_flag,0.9075032806080731
58,GarageType_missing_flag,0.907482146399862
59,GarageYrBlt_missing_flag,0.9101578624726439
60,GarageFinish_missing_flag,0.9116585376104842
61,GarageQual_missing_flag,0.9097495482453732
62,GarageCond_missing_flag,0.9112212336470441
63,PoolQC_missing_flag,0.9084627947923876
64,Fence_missing_flag,0.9133675990915757
65,MiscFeature_missing_flag,0.9139780506922051
66,Garage_BwH,0.9092478547201686
67,YearBuilt_DECADE_BIN,0.9114371822046458
68,YearRemodAdd_DECADE_BIN,0.9095057157616685
69,totalSqFeet,0.9118170312012169
70,totalBathroom,0.9121171781352638
71,MSSubClass_20,0.9113440809970758
72,MSSubClass_30,0.9107863084257114
73,MSSubClass_40,0.9105587410709348
74,MSSubClass_45,0.9102282768435077
75,MSSubClass_50,0.9127761403659933
76,MSSubClass_60,0.9110972231581111
77,MSSubClass_70,0.9119894074651961
78,MSSubClass_75,0.9098398159681381
79,MSSubClass_80,0.9099710530158905
80,MSSubClass_85,0.9101589710103596
81,MSSubClass_90,0.9110111570553956
82,MSSubClass_120,0.9097881423778402
83,MSSubClass_150,0.9068307745440879
84,MSSubClass_160,0.9086881543612364
85,MSSubClass_180,0.9104630652129242
86,MSSubClass_190,0.9093949658741262
87,MSZoning_C (all),0.9082432287981828
88,MSZoning_FV,0.909478113808524
89,MSZoning_RH,0.9109260422875081
90,MSZoning_RL,0.91019094376448
91,MSZoning_RM,0.9094143394041765
92,Street_Grvl,0.9103066076548574
93,Street_Pave,0.9101935196798997
94,Alley_Grvl,0.9103338460796451
95,Alley_None,0.9088760368859226
96,Alley_Pave,0.9076762714850802
97,LotShape_IR1,0.908491686352862
98,LotShape_IR2,0.9127517701319651
99,LotShape_IR3,0.9122201170343924
100,LotShape_Reg,0.9074793302748543
101,LandContour_Bnk,0.909183380246988
102,LandContour_HLS,0.9081927392328801
103,LandContour_Low,0.9110501108412153
104,LandContour_Lvl,0.9071186125132475
105,Utilities_AllPub,0.9086976155067127
106,Utilities_NoSeWa,0.9123606212781898
107,LotConfig_Corner,0.911206637358736
108,LotConfig_CulDSac,0.9109353175220332
109,LotConfig_FR2,0.9122485995117604
110,LotConfig_FR3,0.9090833691332529
111,LotConfig_Inside,0.9097288420390749
112,LandSlope_Gtl,0.9117017413743704
113,LandSlope_Mod,0.9113519508288283
114,LandSlope_Sev,0.910367531027657
115,Neighborhood_Blmngtn,0.9092204030301128
116,Neighborhood_Blueste,0.909302105106169
117,Neighborhood_BrDale,0.9092884806396482
118,Neighborhood_BrkSide,0.9116878965425912
119,Neighborhood_ClearCr,0.908536742921766
120,Neighborhood_CollgCr,0.9101865770631781
121,Neighborhood_Crawfor,0.9101377895679129
122,Neighborhood_Edwards,0.9077072699603088
123,Neighborhood_Gilbert,0.9104650687377512
124,Neighborhood_IDOTRR,0.9077414405426897
